user_name,text,link
sunsool,"비핵화를 이루면 평화와 번영을 이룰 수 있다는 문재인의 말을 안듣고 경제제재부터 풀라며 떼를 쓰다 결국은 속내를 드러내는 김정은... 문재인이 김정은에게 속았다. 이제 미국의 군사적 강경 정책에도 할말없게 됐다. 미사일 발사라도 하는 날, 미국은 군사행동 할거다. 전쟁의 구름이 몰려온다. ",https://twitter.com/sunsool/status/1211799114570059776
skollbuddy51,"28일부터 김정은 노동당전원회의가 북한 자주권과 안전보장 공세조치:국가건설-경제발전-무력건설에/anti사회주의와의 투쟁을 강도높게 벌이며 근로단체 사업 강화에 문재인도 민노총 폭력집회 사면-자유수호""전광훈 목사,태극기-반란으로 구속영장-문희상 선거법-검찰개혁이 대한민국 헌법 파기했다",https://twitter.com/skollbuddy51/status/1211799101253144577
bulkoturi,"한국 성장률 1.4%, OECD 36國 중 34위 문재인 정부 들어 18계단 추락..외환위기 이후 첫 1%대 기록..57년만에 일본에도 추월당해 - 대한민국호는 난파선처럼 침몰하고 있는데, 국가경영능력 제로인 집권세력은 공수처 같은 칼 휘두르며 집권연장에만 몰두하고 있으니 #정중규",https://twitter.com/bulkoturi/status/1211799034052038656
raremaker,https://youtu.be/udRF1xyXkKU 어서 제 6공화국 드라마를 보고싶다. 너무 다이나믹하지않나. 노태우 보통사람시대 YS 문민정부시대 DJ IMF를 넘어 노무현 웰빙시대 MB 이기주의의 도래. 힐링이 필요한 시대 박근혜 권위주의 망령의 부활. 흙수저와 생존의 시대 문재인 그 모든 부조리를 넘고 넘어,https://twitter.com/raremaker/status/1211799004490526720
skollbuddy51,"28일부터 김정은 노동당전원회의가 북한 자주권과 안전보장 공세조치:국가건설-경제발전-무력건설에/anti사회주의와의 투쟁을 강도높게 벌이며 근로단체 사업 강화에 문재인도 민노총 폭력집회 사면-자유수호""전광훈 목사,태극기-반란으로 구속영장-문희상 선거법-검찰개혁이 대한민국 헌법 파기했다",https://twitter.com/skollbuddy51/status/1211798974048288770
iamikms,대통령님 항상 감사합니다 새해에는 더 건강하시고 좋은일 많이 해주시기 바랍니다,https://twitter.com/iamikms/status/1211798947993251841
o1MCloXH2Qa0ofk,"5년 임기 단임제 #문재인 이 대한민국 전 군을 장악할 수 없다. 간첩 조직 -#홍석현 -#홍정도 -우리공화당 (여시재자금), 새벽당 (#홍석현 경희대) #ISIS 수장 -#문창극-사이비교주(전세계 무슬림) #변희재가 우리공화당울 접수하려는 이유 -#홍석현 자금. ISIS 몰락과 -#문창극의 몰락 이후에만.",https://twitter.com/o1MCloXH2Qa0ofk/status/1211798937742397440
skollbuddy51,"28일부터 김정은 노동당전원회의가 북한 자주권과 안전보장 공세조치:국가건설-경제발전-무력건설에/anti사회주의와의 투쟁을 강도높게 벌이며 근로단체 사업 강화에 문재인도 민노총 폭력집회 사면-자유수호""전광훈 목사,태극기-반란으로 구속영장-문희상 선거법-검찰개혁이 대한민국 헌법 파기했다",https://twitter.com/skollbuddy51/status/1211798913499320320
dnjscjf1003,"문재인 대통령과 함께 조국, 이낙연, 임종석. 김상조, 강경화, 김현종, 박영선. 그리고 실망 많이했지만 지켜볼 추미애까지. 2020년 국정 운영 기대된다.",https://twitter.com/dnjscjf1003/status/1211798846516289536
bridge12310,"RT @ohmynews_korea '9만 5000달러' 이광재 전 지사 사면... 청 ""부패범죄로 판단 안했다"" #이광재 #2020년신년특별사면 #문재인 #한상균 #이석기 구영식 기자",https://twitter.com/bridge12310/status/1211798625577132033
kjough,이 사람은 뭐가 문재인지 누가 심지에 불을 붙히는 짓을 하는지 정말 이해못하는 등신 어벙이니까.. 이제 신경도 안쓰고 있다는.. 그저 답답하기만..,https://twitter.com/kjough/status/1211798281946198016
chojungdong444,문재인 독재국가 탄생을 축하합니다!,https://twitter.com/chojungdong444/status/1211798200434053120
dhdhgim,"문재인, 한국당 작심 비판 “볼썽사나운 모습 재연” http://www.mediatoday.co.kr/news/articleView.html?idxno=204418 문재인 대통령이 어제 한국당을 비판했습니다.문 대통령은 볼썽사나운 모습이 재연됐다며 우려를 표했습니다",https://twitter.com/dhdhgim/status/1211797770928943104
_0178503024201,모든것이 다 대통령님 덕분입니다 감사합니다 대통령님 존경하고 사랑합니다,https://twitter.com/_0178503024201/status/1211797744223801345
core_dic10,"1부산 동의대 사위 주동한 학생 변호 2.친일파 김지태 재산 환수 취소 소송변호 3. 페스키마호 사건 변호 4. 부산저축은행 비리 사건 수사 압력 5. 신세계종합금융, 동남은행 파산관재인 의무 불이행 그리고 다수의 북한 귀순자들, 표류한 귀순자 강제북송한 그 한 사람은 누구? 문재인은 인권변호사?",https://twitter.com/core_dic10/status/1211797240399810561
kjough,조작정권의 마지막 발악이 남았고 그로인해 정국은 최악의 혼란이 예상되며 문재인은 하야하게 될것이라 예상 해 봅니다. ,https://twitter.com/kjough/status/1211797148565553152
supportljm,14세기 조선의 의금부ㆍ사헌부와 같은 조직을 21세기에 만들었다. 이것은 왕권을 수호하고 왕에 대한 불경죄ㆍ반역을 추국했던 것과 같은 전제정치를 꾀하는 문재인은 탄핵해야 한다. 공수처의 수사대상에 대통령을 포함했다고 높게 평가하는데 대통령 바라기 공수처장이 대통령을 수사한다? 웃긴다.,https://twitter.com/supportljm/status/1211797037697495040
i_am_too_lazy,n번방사건 이슈화 언급릴레이로 함께합시다! #n번방_사건 #n번방사건_이슈화 언급되신 분들은 트윗을 복붙해 6명 이상 타래에 이어주세요 @bbbalgang @SGtheYoung @i_do_me_ @moonriver365,https://twitter.com/i_am_too_lazy/status/1211796822840074240
yeun1113,"[언론이 아닥하고 있으니 우리가 직접 알린다 ] [인터뷰뉴스티비] 미 경제지 포춘(Fortune), 문재인 대통령 위대한 지도자 1위 선정! ",https://twitter.com/yeun1113/status/1211796816271826944
