user_name,text,link
Romans2j,로그님!!ㅠㅠ이거 맥퀸 스튜디오 웹툰인가요?ㅠㅠ,https://twitter.com/Romans2j/status/1259996428962656258
deepseanarae,오아 작가님! 오아! 웹툰\(^o^)/ 우리 억광년 만이에오! 잘지내시져!,https://twitter.com/deepseanarae/status/1259996357776994304
Hi_Goodbye__,6. 시간선 웹툰 처음 볼 때 베도에서 챙겨봤던 웹툰. 와 근데 진짜 오랜만이네. 지금 생각해보니 강림이랑 도개빈 느낌이 이 웹툰 영향받은 건가 싶고. 와 근데 진짜 자각 못했는데 시간선보니까 진짜 그런 거 같기도 하다ㄷㄷ 역시 이름은 기억나지 않지만 저승사자 좋아했었다ㅠㅜㅠ 작화가 👍👍👍 ,https://twitter.com/Hi_Goodbye__/status/1259996310637121536
hamburgerishot,진짜 하네되 완전 재밌어요ㅠ넘 대박적 웹툰ㅠㅠ,https://twitter.com/hamburgerishot/status/1259996283101577216
open_modoK,내부가없네 웹툰 배경 스케치업_SF동양 슬럼 :: 텀블벅 https://www.tumblbug.com/beelzaslum/?utm_source=twitter&amp;utm_medium=share @tumblbug 님이 씀,https://twitter.com/open_modoK/status/1259996018331889664
Ilike_kim,소설ㅇ 원작 웹툰인 것 같은데 아직ㄱ 소설은 못 봤지만ㄴ 암튼 그 악녀를 조심하세요! 입ㅂ니다.... 갓....캐... ,https://twitter.com/Ilike_kim/status/1259995843811106817
kuroismad,레진코믹스에 자살소년이라는 웹툰이 있는데 거기 나오는 주인공인 '훈이ㅌ요,https://twitter.com/kuroismad/status/1259995755659452416
nokchamim0_0,??????뭐ㅓ야 웹툰ㄴ같은거임? 뭐에요 저거 나도 볼ㄹ래 야 개오진ㄴ다;;;;;,https://twitter.com/nokchamim0_0/status/1259995533025751045
RML_A1,드디어 랜챗 청소년 유해매체로 지정했네 웹툰 랜챗그만 봐도 알잖아 얼마나 유해한지 저거 보고 판타지 생겨서 랫챗하는 애들 없었음 좋겠다,https://twitter.com/RML_A1/status/1259995490302582790
dibidibidib5,이 웹툰 한창 웹툰에 미쳐있을때 연재웹툰 정주행으로 존나 보고 다보고 볼거없나하고 완결들어가서 봤었음,https://twitter.com/dibidibidib5/status/1259995326120775682
BOO1005_,이거 개그웹툰이엿으면 벌써 떳어요 수준임ㅅㅂ,https://twitter.com/BOO1005_/status/1259994543954358272
Tsukinaga_TMI,"[라이온하트]는 레오와 이즈미 간의 감정선을 매우 잘 보여줘, 캐해석에 큰 도움이 될 것이니 한번쯤은 읽어보는 것이 좋다. 만약 앙소설 한권을 사기엔 가성비가 떨어진다고 생각한다면, 웹툰 어플 '카카오페이지'에서 끝부분만 결제해서 감상하는 방법도 있다.",https://twitter.com/Tsukinaga_TMI/status/1259994490372145152
open_modoK,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 녹색이 더 잇으면 좋겟다 [DOOGY의 웹툰배경] 야경이 멋진 도시 홍콩 :: 텀블벅 https://www.tumblbug.com/doogy02/?utm_source=twitter&amp;utm_medium=share @tumblbug 님이 씀,https://twitter.com/open_modoK/status/1259994321320726528
zigunn_73,아존나귀엽다 관심웹툰바로넣음 호랑이존나미친너무귀엽다 제발이대로여성서사로만나와라.. ,https://twitter.com/zigunn_73/status/1259994201799843840
Happy_Attack777,여신강림이란 웹툰 정말 옛날 얼짱시대 유행했을때 감성이다,https://twitter.com/Happy_Attack777/status/1259994081431703552
heeda__22,웹툰 견우와 직녀 보는데 귀신이 ㅋㅋㅋㅋ,https://twitter.com/heeda__22/status/1259994007494488064
KSJ_saranghae,내가... 진짜... 네이벼 웹툰을 좋아하는 이유가... BL이 하나밖에 없음에도... 네이벼를 선택한 이유가 걍 그림체가 예쁨... ㄹㅔ지ㄴ은... 각졌달까... 몰라 걍 내맘에 쏙 들진 않음 ㅜㅜ 근데 이것도 써방해야하나,https://twitter.com/KSJ_saranghae/status/1259993728862715904
Qkrrn_k,웹툰에서 앤캐란 말 보고 기분 줜내 이상해짐,https://twitter.com/Qkrrn_k/status/1259993630200102912
04Xw0VPKHTtQOQf,무료웹툰사이트 무료웹툰 사이트 무료웹툰 무료료보는 사이트 눈팅,https://twitter.com/04Xw0VPKHTtQOQf/status/1259993443171893249
onlyeri__,웹툰 보다가 끝에 떠서 급하게 캡쳐해왔음 이거 먼데ㅠ ,https://twitter.com/onlyeri__/status/1259992411108831233
