,title,label
0,삼성 갤럭시 J5 5015 SMJ500N0 모바일 데이터 경고 제한,엔터테인먼트
1,SMF700NP 태그의 글 목록,엔터테인먼트
2,스마트폰 삼성 갤럭시 M21Galaxy M21 SMM215,엔터테인먼트
3,SMA7156 태그의 글 목록,엔터테인먼트
4,SMG985FDS 태그의 글 목록,엔터테인먼트
5,스마트폰 삼성 갤럭시 A81Galaxy A81 SMA815,엔터테인먼트
6,스마트폰 삼성 갤럭시 S20Galaxy S20 SMG980,엔터테인먼트
7,스마트폰 삼성 갤럭시 M31Galaxy M31 SMM315,엔터테인먼트
8,스마트폰 삼성 갤럭시 A21Galaxy A21 SMA215,엔터테인먼트
9,스마트폰 삼성 갤럭시 M11Galaxy M11 SMM115,엔터테인먼트
10,제주도 함덕 맛집 제주도 낙지볶음은 JYP식당,엔터테인먼트
11,JYP 아이돌 이미지 마케팅 관련 끄적,엔터테인먼트
12,세부 호핑 투어 추천 ; JYP 슬림호핑으로 즐겨봐,엔터테인먼트
13,세부 호핑투어 jyp호핑만 3번째 방문 캡틴님 최고,엔터테인먼트
14,엔터주를 다시 보자  탑픽은 JYP엔터 ,엔터테인먼트
15,체크카드 수령 완료 신한 카드 JYP fans EDM 체크 발급 방법,엔터테인먼트
16,왜 JYP만 영업이익률이 높은걸까,엔터테인먼트
17,JYP 오디션 니지프로젝트 파트2시즌2 참가 연습생 프로필,엔터테인먼트
18,콜렉터  맥쿼리인프라 신고가  ITZY  JYP 훨훨 날아라,엔터테인먼트
19,슈퍼주니어 김희철모모열애설 사실이면 연쓸걱JYP 안습,엔터테인먼트
20,YG 송민호 클럽 공연에 심리 끼쳐 죄송,엔터테인먼트
21,승리 이번 주 구속영장YG 수사 확대,엔터테인먼트
22,비아이 제보자 협박 혐의 양현석 검찰 기소 내용 정리  YG,엔터테인먼트
23,제주 YG리퍼블릭 그리고 갈치의 정석은 요리요,엔터테인먼트
24,또 YG냐 이 시국 강원도 게스트하우스 클럽 간 YG출신 연예인,엔터테인먼트
25,YG PLUS 전 세계인의 가슴에 가는 종합 투자 플랫폼 YG PLUS,엔터테인먼트
26,명동 롯데 영플라자 YG 플레이스,엔터테인먼트
27,YG 현 최고 힙합 프로듀서는 누구,엔터테인먼트
28,고전사 YG어쿠스틱 헤일리12,엔터테인먼트
29,YG REP by VAULT  논현동 파티오세븐 호텔,엔터테인먼트
30,보고있나 빅히트 ㅋㅋ  위버스 초대 개근상 수여자 진,엔터테인먼트
31,BTS 방탄소년단 진 일탈 매력 빅히트 아티스트룸,엔터테인먼트
32,오늘의 테마주빅히트 테마주 알아보기,엔터테인먼트
33,짐른 빅히트 패밀리의 구심점,엔터테인먼트
34,빅히트X쏘스뮤직 새 걸그룹 이름  HYBE 증거,엔터테인먼트
35,플레디스 빅히트 엔터테인먼트 플레디스 인수 합병,엔터테인먼트
36,빅히트엔터테인먼트방탄소년단 법적 대응 검토 無 JTBC,엔터테인먼트
37,전정국 빅히트 막내 걸그룹은 전정국 팬,엔터테인먼트
38,방탄소년단 매번 컨포나 뮤비 리얼에 진심인 빅히트,엔터테인먼트
39,빅히트 x CJ 프로그램 아이랜드 출연자와 방송 기대 예측,엔터테인먼트
40,기업 방역큐브 제조사 중원인더스트리,엔터테인먼트
41,주말의 물생활  30큐브 수초항 부분리셋 아쿠아가든 AIR,엔터테인먼트
42,무선충전보조배터리 미포우 파워큐브PRO,엔터테인먼트
43,이유식 소고기 큐브해산물 큐브 만들기,엔터테인먼트
44,큐브발지압 편백나무로 시원하게,엔터테인먼트
45,유행없는 토트 큐브백 추천,엔터테인먼트
46,흑임자통밀큐브스콘,엔터테인먼트
47,큐브스테이크 덮밥 만들기 간장소스까지 완벽하게,엔터테인먼트
48,감성캠핑용품 코베아 큐브버너 스펙 장점 분석,엔터테인먼트
